entry_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_usd,risk_usd,rr_actual,confidence,confluence,regime,session,equity
2024-04-16 13:00,BUY,2382.7,2368.7,2410.7,2410.7,WIN,200.0,100.0,2.0,70.1,4,0,New York,10200.0
2024-05-01 08:00,BUY,2296.7,2289.2,2311.7,2311.7,WIN,204.0,102.0,2.0,84.8,4,1,London,10404.0
2024-06-06 12:00,BUY,2376.6,2368.0,2393.81,2393.81,WIN,208.08,104.04,2.0,80.1,4,0,New York,10612.08
2024-06-13 12:00,SELL,2339.3,2352.3,2313.3,2313.3,WIN,212.24,106.12,2.0,91.3,4,1,New York,10824.32
2024-07-09 07:00,BUY,2365.9,2359.08,2379.54,2359.08,LOSS,-108.24,108.24,1.0,70.6,4,0,London,10716.08
2024-07-15 07:00,BUY,2412.6,2405.1,2427.6,2427.6,WIN,214.32,107.16,2.0,85.7,4,0,London,10930.4
2024-08-29 12:00,BUY,2542.4,2532.31,2562.58,2532.31,LOSS,-109.3,109.3,1.0,70.9,4,0,New York,10821.1
2024-09-04 09:00,BUY,2512.7,2502.24,2533.62,2533.62,WIN,216.42,108.21,2.0,71.6,4,1,London,11037.52
2024-10-25 09:00,BUY,2733.4,2725.44,2749.31,2749.31,WIN,220.75,110.38,2.0,71.0,4,0,London,11258.27
2024-10-28 09:00,BUY,2741.5,2731.05,2762.4,2762.4,WIN,225.17,112.58,2.0,82.0,4,0,London,11483.43
2024-12-16 13:00,SELL,2681.3,2700.03,2643.85,2643.85,WIN,229.67,114.83,2.0,87.4,4,1,New York,11713.1
2025-01-14 13:00,BUY,2675.3,2664.79,2696.31,2696.31,WIN,234.26,117.13,2.0,95.1,4,0,New York,11947.36
2025-01-21 09:00,BUY,2731.4,2720.82,2752.55,2752.55,WIN,238.95,119.47,2.0,93.2,4,0,London,12186.31
2025-02-14 09:00,SELL,2959.3,2976.33,2925.24,2925.24,WIN,243.73,121.86,2.0,93.6,4,0,London,12430.04
2025-03-17 12:00,BUY,2994.4,2984.22,3014.76,3014.76,WIN,248.6,124.3,2.0,88.1,4,0,New York,12678.64
2025-05-02 14:00,SELL,3271.5,3292.87,3228.75,3292.87,LOSS,-126.79,126.79,1.0,71.8,4,1,New York,12551.85
2025-07-09 09:00,BUY,3297.1,3284.66,3321.98,3321.98,WIN,251.04,125.52,2.0,71.2,4,1,London,12802.89
2025-08-29 09:00,BUY,3467.6,3460.81,3481.17,3481.17,WIN,256.06,128.03,2.0,92.1,4,0,London,13058.95
2025-09-15 09:00,BUY,3678.3,3667.33,3700.24,3700.24,WIN,261.18,130.59,2.0,91.5,4,0,London,13320.13
2025-10-07 07:00,BUY,3968.6,3950.06,4005.67,4005.67,WIN,266.4,133.2,2.0,82.3,4,0,London,13586.53
2025-10-14 12:00,BUY,4122.8,4087.89,4192.62,4192.62,WIN,271.73,135.87,2.0,86.0,4,0,New York,13858.26
2025-10-27 13:00,SELL,4036.0,4074.83,3958.34,3958.34,WIN,277.17,138.58,2.0,80.7,4,1,New York,14135.42
2025-10-29 12:00,SELL,4038.8,4067.79,3980.81,3980.81,WIN,282.71,141.35,2.0,94.9,4,1,New York,14418.13
2025-10-29 13:00,SELL,4026.9,4056.45,3967.8,3967.8,WIN,288.36,144.18,2.0,75.2,5,1,New York,14706.5
2025-11-20 09:00,BUY,4062.3,4029.35,4128.2,4029.35,LOSS,-147.06,147.06,1.0,73.3,4,1,London,14559.43
2026-01-02 12:00,SELL,4407.0,4432.54,4355.93,4355.93,WIN,291.19,145.59,2.0,81.7,4,1,New York,14850.62
2026-01-14 08:00,SELL,4641.8,4665.3,4594.79,4594.79,WIN,297.01,148.51,2.0,81.9,4,0,London,15147.63
2026-01-23 08:00,BUY,4915.3,4880.27,4985.35,4985.35,WIN,302.95,151.48,2.0,78.4,4,0,London,15450.58
2026-01-27 14:00,BUY,5049.6,5009.92,5128.96,5128.96,WIN,309.01,154.51,2.0,74.5,4,0,New York,15759.6
2026-02-20 12:00,BUY,5044.5,5015.07,5103.36,5015.07,LOSS,-157.6,157.6,1.0,70.8,4,0,New York,15602.0
2026-02-23 08:00,BUY,5161.0,5121.3,5240.39,5240.39,WIN,312.04,156.02,2.0,80.0,4,0,London,15914.04
2026-03-02 08:00,SELL,5408.9,5459.66,5307.37,5307.37,WIN,318.28,159.14,2.0,71.7,4,0,London,16232.32
2026-03-02 09:00,SELL,5406.9,5454.58,5311.55,5311.55,WIN,324.65,162.32,2.0,74.7,4,0,London,16556.97
2026-03-02 14:00,BUY,5346.4,5289.09,5461.03,5289.09,LOSS,-165.57,165.57,1.0,70.7,4,0,New York,16391.4
2026-03-13 12:00,SELL,5124.4,5154.05,5065.1,5065.1,WIN,327.83,163.91,2.0,74.3,4,1,New York,16719.23
